,no_protease,c_0.000M,c_0.421M,c_0.842M,c_1.263M,c_1.684M,c_2.105M,c_2.526M,c_2.947M,c_3.368M,c_3.789M,c_4.211M,c_4.632M,c_5.053M,c_5.474M,c_5.895M,c_6.316M,c_6.737M,c_7.158M,c_7.579M,c_8.000M
prot_000000,41,23,72,44,57,50,90,79,74,117,99,124,119,92,50,32,4,1,2,1,0
prot_000001,81,74,121,108,90,75,131,115,85,75,52,26,10,1,8,6,4,0,6,0,6
prot_000002,52,39,69,75,75,47,112,99,108,118,135,203,190,245,283,333,305,186,110,111,41
prot_000003,66,58,81,87,120,72,136,128,128,177,195,246,200,177,144,89,62,25,18,18,3
prot_000004,94,14,19,5,3,0,0,1,5,1,0,0,0,2,6,0,0,0,0,3,2
prot_000005,59,36,88,85,95,53,114,115,115,152,179,208,225,284,354,474,533,437,353,243,114
prot_000006,54,33,60,58,93,51,133,91,93,120,152,208,209,272,311,472,570,552,675,970,762
prot_000007,67,50,91,73,115,67,118,135,139,178,200,210,238,258,281,260,134,59,38,12,12
prot_000008,62,20,11,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,0
prot_000009,49,42,59,70,59,32,108,90,73,42,41,35,12,9,10,4,0,8,4,11,5
prot_000010,56,40,75,51,57,14,11,4,3,0,0,1,0,1,0,2,2,0,2,0,0
prot_000011,39,23,59,54,60,42,78,83,73,89,113,184,147,195,239,361,376,367,340,312,160
prot_000012,87,67,113,112,141,100,171,186,152,187,218,172,117,60,30,20,14,4,9,4,0
prot_000013,63,53,81,82,89,68,115,122,125,170,163,225,217,253,363,419,342,223,166,109,34
prot_000014,35,39,36,52,47,27,52,24,8,15,4,1,1,0,0,0,0,0,0,0,0
prot_000015,66,48,56,23,5,1,1,0,0,0,1,0,1,3,4,0,0,0,0,0,4
prot_000016,40,39,65,56,71,27,30,9,2,0,0,1,0,0,1,0,0,0,3,6,0
prot_000017,135,6,7,3,0,0,0,0,1,0,0,0,0,0,10,9,0,0,10,8,32
prot_000018,79,72,111,96,131,72,142,163,162,200,203,247,120,63,30,11,4,7,0,0,0
prot_000019,42,26,46,46,61,41,76,73,35,15,3,2,2,2,0,0,1,0,0,2,2
prot_000020,101,80,126,117,170,89,185,209,221,280,277,348,248,156,101,66,40,11,0,9,1
prot_000021,69,55,99,79,56,12,6,2,2,0,3,0,0,0,0,3,2,12,0,8,5
prot_000022,73,64,95,97,97,62,145,148,167,175,209,306,286,328,389,332,183,78,24,3,6
prot_000023,134,119,177,176,208,144,266,274,239,342,401,525,522,631,699,796,495,334,118,59,44
prot_000024,51,43,72,75,77,57,102,89,86,115,151,168,106,89,69,30,16,3,3,8,0
prot_000025,123,74,75,54,41,16,10,8,2,6,0,1,0,0,0,7,8,0,0,13,26
prot_000026,78,60,103,73,124,67,113,75,34,14,10,6,0,4,2,0,5,5,1,0,3
prot_000027,66,6,4,2,0,1,2,0,0,0,0,0,3,0,0,3,3,0,0,7,1
prot_000028,46,22,18,10,4,1,1,2,0,1,1,0,0,0,0,0,1,0,3,16,0
prot_000029,66,39,100,83,96,84,132,127,129,138,147,158,72,30,24,17,0,4,0,0,0
prot_000030,60,47,103,69,109,61,131,126,107,144,167,236,206,287,324,349,291,190,130,96,77
prot_000031,42,30,51,62,80,45,86,77,89,98,117,177,154,193,265,338,366,264,189,177,70
prot_000032,105,85,126,107,96,35,28,9,12,3,2,2,2,3,0,0,1,3,8,0,2
prot_000033,91,89,110,86,102,46,48,13,2,2,1,0,0,1,3,0,0,0,0,0,5
prot_000034,57,44,72,58,81,48,114,89,45,77,38,23,9,10,3,2,0,0,2,0,0
prot_000035,104,48,39,10,8,1,4,0,0,0,0,0,1,0,0,1,11,0,15,17,0
prot_000036,152,41,25,8,6,0,0,0,4,0,0,2,3,0,2,6,0,0,1,21,5
prot_000037,60,46,85,85,107,51,94,53,22,11,8,2,1,1,0,0,0,0,3,0,0
prot_000038,62,50,46,36,28,10,3,2,1,0,0,0,2,0,0,3,0,1,0,7,2
prot_000039,116,83,143,167,204,132,220,229,219,273,277,329,199,118,93,41,28,4,5,13,0
prot_000040,86,79,106,121,125,52,44,22,3,2,1,0,0,0,0,0,0,0,10,0,12
prot_000041,67,50,93,109,101,71,119,131,129,149,185,249,153,70,48,22,7,4,12,7,0
prot_000042,100,93,132,117,174,102,200,233,210,215,321,376,318,325,246,221,138,50,35,67,2
prot_000043,92,84,123,98,75,44,34,16,9,3,2,0,1,0,0,0,0,2,0,0,0
prot_000044,139,112,192,192,234,122,276,306,275,368,420,474,499,699,858,1236,1199,1135,857,751,315
prot_000045,76,45,111,105,118,80,184,140,134,179,242,258,265,360,420,455,395,217,137,165,44
prot_000046,101,93,122,149,127,80,116,113,64,49,31,13,21,5,2,0,6,0,0,0,0
prot_000047,125,80,142,73,68,27,27,11,1,0,0,4,0,0,7,0,9,0,8,2,0
prot_000048,20,17,23,26,20,19,33,29,37,36,24,28,15,4,3,0,1,0,0,3,0
prot_000049,120,44,37,19,7,4,3,0,2,0,0,0,0,2,6,0,0,0,17,19,0
prot_000050,64,36,29,13,11,1,2,0,0,1,0,0,0,0,2,2,0,4,9,9,0
prot_000051,93,5,2,0,0,0,3,0,2,0,0,0,1,4,8,0,0,5,5,0,7
prot_000052,156,126,194,195,226,128,310,299,301,408,394,358,162,61,22,32,0,0,7,0,9
prot_000053,67,55,102,80,113,87,140,139,136,164,189,208,178,112,87,49,31,9,0,16,9
prot_000054,58,46,71,88,98,56,132,111,104,152,167,185,160,144,123,81,50,36,13,0,0
prot_000055,76,58,98,92,124,75,159,156,148,191,233,314,254,311,379,438,331,248,140,121,71
prot_000056,48,30,74,69,72,43,99,89,58,54,34,33,10,9,2,1,0,0,3,0,0
prot_000057,181,163,252,240,292,200,371,317,215,132,78,47,12,0,17,3,0,0,0,1,0
prot_000058,84,26,33,6,2,0,2,1,0,0,1,0,0,0,0,0,1,2,1,0,0
prot_000059,140,37,15,12,2,1,0,0,0,0,5,0,0,3,1,9,0,0,2,5,6
prot_000060,68,65,100,70,92,65,152,133,118,79,44,14,3,4,3,0,0,1,2,16,0
prot_000061,99,81,159,135,121,77,74,36,14,4,2,0,2,2,0,2,7,2,0,0,9
prot_000062,124,111,173,163,202,135,217,234,267,237,306,340,291,209,187,119,89,59,41,4,26
prot_000063,53,46,71,66,86,47,77,111,87,122,147,152,97,68,20,16,2,0,1,0,2
prot_000064,70,53,83,87,93,73,153,145,131,126,96,77,38,21,4,5,0,0,6,2,0
prot_000065,121,98,167,140,186,147,232,191,182,194,167,115,44,17,13,15,0,0,7,0,0
prot_000066,59,49,87,82,104,60,116,109,79,57,27,16,17,4,0,0,8,1,2,0,0
prot_000067,84,53,125,88,88,41,71,45,13,9,10,7,3,3,0,12,7,0,0,0,11
prot_000068,117,7,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,24,0
prot_000069,132,96,192,169,198,95,133,67,30,16,6,9,0,0,4,0,7,0,0,0,0
prot_000070,157,115,139,75,56,11,20,16,0,5,0,0,1,0,2,1,0,0,0,0,0
prot_000071,52,49,77,77,68,50,55,48,31,17,18,4,3,5,0,0,0,6,1,0,2
prot_000072,66,63,89,83,116,68,137,130,122,177,196,247,264,314,390,556,637,699,845,1070,842
prot_000073,83,66,84,44,28,6,3,5,0,0,3,0,0,0,2,1,1,0,8,0,0
prot_000074,96,6,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,7,0,2
prot_000075,52,37,55,42,42,15,15,14,3,2,0,2,0,4,0,0,0,0,0,1,0
prot_000076,57,51,66,43,26,8,9,1,0,0,0,0,0,0,0,6,0,0,0,0,0
prot_000077,55,43,70,76,79,53,96,119,65,57,39,10,3,0,0,0,0,0,0,0,0
prot_000078,53,42,81,64,76,54,109,108,54,68,36,29,8,7,6,0,1,5,0,4,2
prot_000079,113,87,150,148,176,129,238,229,201,300,331,429,396,373,433,355,201,93,57,45,15
prot_000080,106,75,139,134,175,108,175,202,206,232,153,133,44,30,11,0,0,0,11,16,0
prot_000081,72,67,88,94,110,55,76,41,10,14,1,1,1,0,6,5,0,7,3,0,0
prot_000082,67,75,97,85,88,84,155,133,156,161,200,296,252,313,463,555,493,470,349,384,172
prot_000083,30,8,9,6,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
prot_000084,78,6,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,6,7
prot_000085,117,24,10,6,1,1,0,2,0,1,0,0,1,0,0,0,5,0,0,0,0
prot_000086,57,51,70,63,95,54,111,124,108,120,157,179,130,88,57,29,13,5,0,8,3
prot_000087,58,39,71,54,105,51,70,58,24,11,6,1,1,0,0,0,1,0,2,0,0
prot_000088,135,44,60,34,16,8,12,3,3,0,1,0,0,1,11,0,7,0,7,5,0
prot_000089,43,38,55,61,68,31,54,29,20,11,1,2,0,0,0,2,0,2,0,0,0
prot_000090,144,74,43,19,10,3,2,0,0,0,1,0,0,3,0,0,0,21,0,0,12
prot_000091,247,213,327,315,388,263,457,335,130,53,8,0,5,0,0,4,0,0,0,8,8
prot_000092,87,71,134,114,106,88,139,105,60,35,21,6,3,3,0,0,0,4,2,0,5
prot_000093,148,134,188,155,155,89,89,41,11,5,6,0,0,7,4,4,2,0,1,0,0
prot_000094,37,31,31,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
prot_000095,49,33,54,67,74,64,106,86,104,86,58,55,29,15,1,3,2,0,8,0,0
prot_000096,50,31,69,46,61,21,26,14,10,1,2,1,0,0,0,0,2,2,0,0,0
